                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89145,                 1.2109,                 1.2175,                0.77574,                0.64828,                0.80719,                0.69055,                 0.7218,                 1.0789,                 1.0757,             0.00053932,             0.00053932,             0.00053932
                      2,                0.66926,                0.89242,                 1.0472,                0.64499,                0.70475,                0.77483,                0.62202,                0.81722,                 1.2287,                 1.1151,              0.0010841,              0.0010841,              0.0010841
                      3,                0.65917,                0.89312,                 1.0261,                0.78783,                0.77029,                0.87812,                0.72173,                0.69471,                0.91911,                0.97118,               0.001618,               0.001618,               0.001618
                      4,                0.66116,                0.82807,                  1.014,                0.60037,                0.74167,                0.74602,                0.61298,                0.90006,                 1.3158,                 1.2156,              0.0016175,              0.0016175,              0.0016175
                      5,                0.66447,                0.82838,                 1.0195,                0.77824,                0.78935,                0.81275,                0.67387,                0.72301,                0.98148,                 1.0687,               0.001601,               0.001601,               0.001601
                      6,                 0.6329,                0.77075,                 1.0011,                0.69571,                0.70659,                0.82528,                0.69922,                0.73043,                 1.1896,                 1.0183,              0.0015845,              0.0015845,              0.0015845
                      7,                0.61259,                0.74101,                0.98897,                0.72148,                0.80768,                0.88198,                0.77835,                0.60138,                0.91414,                0.95846,               0.001568,               0.001568,               0.001568
                      8,                0.62204,                 0.7319,                0.98516,                0.81881,                0.72836,                0.84202,                0.67551,                0.87321,                 1.0446,                 1.2092,              0.0015515,              0.0015515,              0.0015515
                      9,                 0.6166,                0.72598,                0.98785,                0.73456,                0.65743,                0.84877,                 0.6821,                0.71432,                  1.175,                 1.0363,               0.001535,               0.001535,               0.001535
                     10,                 0.6005,                0.73541,                0.99438,                0.86985,                0.80833,                0.89712,                0.76165,                 0.7471,                0.79458,                 1.0358,              0.0015185,              0.0015185,              0.0015185
                     11,                0.55788,                0.68182,                0.97523,                0.89478,                0.84389,                0.89982,                0.78698,                 0.6566,                0.73037,                0.99206,               0.001502,               0.001502,               0.001502
                     12,                0.56518,                0.66707,                0.96335,                0.83882,                0.83465,                0.91219,                0.81595,                0.56904,                0.74651,                0.95303,              0.0014855,              0.0014855,              0.0014855
                     13,                0.51984,                0.61851,                 0.9502,                0.90529,                0.89857,                0.92957,                0.81782,                0.64162,                0.63259,                0.97369,               0.001469,               0.001469,               0.001469
                     14,                0.50974,                0.61194,                0.94866,                0.89563,                0.88967,                0.91222,                0.78161,                0.61146,                0.70482,                0.97919,              0.0014525,              0.0014525,              0.0014525
                     15,                0.51702,                0.61783,                0.93252,                0.75721,                0.60601,                0.75043,                0.62733,                0.75557,                 1.5784,                 1.0723,               0.001436,               0.001436,               0.001436
                     16,                0.53969,                0.62145,                0.96462,                0.48682,                0.43588,                0.41093,                0.26264,                 1.8924,                  2.517,                 2.3949,              0.0014195,              0.0014195,              0.0014195
                     17,                0.50437,                0.59686,                0.94493,                0.87656,                0.89786,                0.90505,                0.81452,                0.58601,                0.68655,                0.94788,              0.0014029,              0.0014029,              0.0014029
                     18,                0.51937,                0.62774,                0.94977,                0.89056,                  0.825,                0.92371,                0.82582,                0.56347,                0.71764,                0.93078,              0.0013864,              0.0013864,              0.0013864
                     19,                0.48367,                 0.5953,                0.92353,                0.88699,                0.82468,                0.94085,                0.82759,                0.57586,                0.68602,                0.93319,              0.0013699,              0.0013699,              0.0013699
                     20,                0.51893,                0.59378,                 0.9428,                0.87048,                0.92917,                0.95194,                0.85578,                0.54543,                 0.5614,                0.92258,              0.0013534,              0.0013534,              0.0013534
                     21,                0.48289,                0.55524,                0.94129,                0.87571,                0.88237,                0.91594,                0.78339,                0.61262,                0.62678,                0.97693,              0.0013369,              0.0013369,              0.0013369
                     22,                0.50954,                0.57548,                 0.9416,                0.60289,                0.44679,                0.46613,                0.38415,                 1.7265,                 3.0354,                 1.7976,              0.0013204,              0.0013204,              0.0013204
                     23,                0.48559,                0.54127,                0.92947,                0.75284,                0.72725,                0.87126,                0.76884,                0.59472,                 1.1323,                0.94959,              0.0013039,              0.0013039,              0.0013039
                     24,                0.46677,                0.55281,                0.92799,                 0.5819,                0.66538,                0.69631,                0.52968,                 1.0838,                 1.5655,                 1.4301,              0.0012874,              0.0012874,              0.0012874
                     25,                0.46254,                 0.5452,                0.92716,                0.83611,                0.88347,                0.91863,                0.79806,                0.61048,                0.71457,                0.97589,              0.0012709,              0.0012709,              0.0012709
                     26,                0.48337,                0.55524,                0.93293,                0.85964,                0.94013,                0.94102,                0.84587,                0.53602,                0.56967,                0.92238,              0.0012544,              0.0012544,              0.0012544
                     27,                0.46747,                0.54128,                  0.939,                0.66128,                0.61749,                  0.653,                0.50926,                 1.1506,                 1.6361,                 1.4499,              0.0012379,              0.0012379,              0.0012379
                     28,                0.48518,                0.56769,                 0.9324,                 0.9178,                0.86094,                0.92557,                0.81922,                0.55832,                0.62157,                0.93868,              0.0012214,              0.0012214,              0.0012214
                     29,                 0.4703,                 0.5558,                0.93655,                0.75377,                0.80833,                0.90991,                0.81105,                0.59008,                0.89054,                0.95103,              0.0012049,              0.0012049,              0.0012049
                     30,                0.43748,                0.50737,                0.91207,                0.86081,                    0.9,                0.95043,                0.84934,                0.53093,                0.63041,                0.90905,              0.0011884,              0.0011884,              0.0011884
                     31,                0.44588,                0.51624,                 0.9207,                0.84056,                0.92917,                0.93543,                0.83038,                0.57879,                0.61167,                  0.957,              0.0011719,              0.0011719,              0.0011719
                     32,                0.43736,                0.50577,                0.92435,                 0.8777,                0.94057,                0.93902,                0.84358,                0.53311,                 0.5538,                0.90629,              0.0011554,              0.0011554,              0.0011554
                     33,                0.46195,                0.54113,                0.92017,                0.86965,                 0.8875,                0.92062,                0.82971,                0.53588,                0.63723,                0.92413,              0.0011389,              0.0011389,              0.0011389
                     34,                0.46276,                0.50495,                0.91745,                0.89292,                0.92029,                0.95016,                0.87614,                0.46171,                0.55486,                 0.8929,              0.0011224,              0.0011224,              0.0011224
                     35,                0.43396,                0.48889,                 0.9177,                 0.9254,                0.91168,                0.94754,                0.85238,                0.53532,                0.54276,                0.92459,              0.0011059,              0.0011059,              0.0011059
                     36,                0.43396,                0.49429,                0.91077,                0.90973,                0.90851,                0.93172,                0.85011,                0.50937,                0.54169,                0.91084,              0.0010894,              0.0010894,              0.0010894
                     37,                0.41249,                0.47331,                 0.9101,                0.91794,                  0.925,                0.94096,                0.85463,                0.50512,                0.58884,                0.92193,              0.0010729,              0.0010729,              0.0010729
                     38,                   0.41,                0.46801,                0.91053,                0.89573,                0.92917,                0.94597,                0.86807,                0.52502,                 0.5669,                0.95234,              0.0010564,              0.0010564,              0.0010564
                     39,                0.42168,                0.47389,                0.90758,                0.90506,                0.80719,                0.89695,                0.78353,                0.68876,                0.67776,                 1.0141,              0.0010399,              0.0010399,              0.0010399
                     40,                0.42239,                0.48439,                 0.9022,                0.93106,                0.92428,                0.95622,                0.86274,                0.52645,                0.49603,                0.92473,              0.0010234,              0.0010234,              0.0010234
                     41,                0.39736,                0.44731,                0.90723,                0.93056,                0.90833,                0.93944,                 0.8499,                0.52879,                0.54388,                0.93975,              0.0010069,              0.0010069,              0.0010069
                     42,                0.42432,                0.47679,                0.90964,                0.89437,                 0.8468,                0.93326,                0.86162,                0.46675,                0.61897,                0.91581,             0.00099036,             0.00099036,             0.00099036
                     43,                0.40755,                0.45248,                0.91002,                0.88717,                0.90952,                0.92005,                0.81937,                0.56622,                0.66093,                0.96636,             0.00097386,             0.00097386,             0.00097386
                     44,                0.38272,                0.43931,                0.89795,                0.90112,                0.88932,                0.95011,                  0.881,                0.42216,                0.53946,                0.88027,             0.00095736,             0.00095736,             0.00095736
                     45,                0.38182,                0.43541,                0.89252,                0.94104,                0.95833,                0.96328,                0.89826,                0.43213,                0.45128,                0.88331,             0.00094085,             0.00094085,             0.00094085
                     46,                0.37311,                0.42428,                0.89366,                0.89882,                0.93333,                0.94077,                0.87277,                0.46836,                0.50602,                0.88975,             0.00092435,             0.00092435,             0.00092435
                     47,                0.38691,                0.43343,                 0.8975,                0.94016,                0.92083,                0.95803,                0.89364,                0.42848,                0.46864,                0.90091,             0.00090785,             0.00090785,             0.00090785
                     48,                0.38382,                0.43449,                0.88473,                0.92119,                0.93525,                0.94322,                0.87785,                0.47316,                0.49791,                0.92179,             0.00089134,             0.00089134,             0.00089134
                     49,                0.39201,                0.43497,                0.89905,                0.88656,                0.93982,                0.95903,                0.88922,                0.40438,                 0.4503,                0.86671,             0.00087484,             0.00087484,             0.00087484
                     50,                0.38509,                0.41405,                0.89252,                0.87542,                0.90417,                0.95165,                0.89291,                 0.4006,                0.51769,                0.86565,             0.00085834,             0.00085834,             0.00085834
                     51,                0.38509,                0.41731,                0.89759,                0.92638,                0.96381,                0.96284,                0.89572,                0.39984,                0.41324,                0.86345,             0.00084184,             0.00084184,             0.00084184
                     52,                0.38197,                0.41257,                0.89057,                0.93715,                0.94167,                0.96267,                0.88302,                0.47387,                0.50627,                0.90829,             0.00082533,             0.00082533,             0.00082533
                     53,                0.38383,                0.40446,                0.89521,                0.90504,                 0.9389,                0.95436,                0.88104,                0.47004,                0.48957,                0.91827,             0.00080883,             0.00080883,             0.00080883
                     54,                0.37911,                0.40587,                0.89714,                0.92416,                0.93468,                0.95527,                0.89025,                0.45494,                 0.4508,                0.91153,             0.00079233,             0.00079233,             0.00079233
                     55,                0.36557,                0.38453,                0.87908,                0.89697,                 0.9011,                0.93535,                0.84464,                0.56788,                0.51537,                0.97741,             0.00077582,             0.00077582,             0.00077582
                     56,                0.34867,                0.37727,                0.88412,                0.90651,                0.94131,                0.94871,                0.88508,                 0.4571,                0.50272,                0.91134,             0.00075932,             0.00075932,             0.00075932
                     57,                0.36015,                0.37364,                0.89348,                0.86967,                0.89167,                0.92533,                0.84755,                0.48733,                0.57817,                0.94307,             0.00074282,             0.00074282,             0.00074282
                     58,                0.35012,                0.37363,                 0.8793,                0.85042,                0.74869,                0.81428,                0.68022,                0.85801,                0.92564,                 1.1709,             0.00072631,             0.00072631,             0.00072631
                     59,                0.33924,                0.38186,                0.87927,                0.93872,                0.94267,                0.96553,                0.89899,                0.40026,                0.40191,                0.88373,             0.00070981,             0.00070981,             0.00070981
                     60,                0.35337,                  0.377,                0.88397,                0.91075,                0.94691,                0.95581,                 0.9004,                0.40774,                 0.4223,                0.87564,             0.00069331,             0.00069331,             0.00069331
                     61,                0.35798,                0.38394,                0.88722,                0.81903,                0.78749,                0.90516,                0.84392,                0.46683,                0.74552,                0.90092,              0.0006768,              0.0006768,              0.0006768
                     62,                0.34749,                0.37096,                 0.8773,                0.93126,                0.93782,                0.96145,                0.89491,                0.43667,                0.45518,                0.89937,              0.0006603,              0.0006603,              0.0006603
                     63,                0.34884,                0.38405,                0.88107,                0.93898,                 0.9625,                0.97332,                0.91433,                0.38449,                0.38215,                0.86587,              0.0006438,              0.0006438,              0.0006438
                     64,                0.34161,                0.36775,                0.88303,                0.95137,                0.95543,                0.96984,                0.91084,                0.39796,                0.38872,                0.87231,             0.00062729,             0.00062729,             0.00062729
                     65,                0.35175,                0.37544,                0.87995,                0.92051,                0.95833,                 0.9774,                0.92489,                0.40631,                0.40928,                0.87473,             0.00061079,             0.00061079,             0.00061079
                     66,                0.33481,                0.35638,                0.88283,                0.94791,                 0.9236,                0.95872,                0.88415,                0.44102,                0.46266,                0.92216,             0.00059429,             0.00059429,             0.00059429
                     67,                0.33424,                0.37238,                0.88205,                0.95726,                0.94505,                 0.9733,                0.90667,                 0.3923,                0.39244,                0.89211,             0.00057778,             0.00057778,             0.00057778
                     68,                0.33241,                0.36188,                0.87566,                0.92288,                0.95199,                0.97595,                0.92291,                 0.3627,                0.38907,                0.87375,             0.00056128,             0.00056128,             0.00056128
                     69,                0.30861,                0.34062,                0.86669,                0.95429,                0.94583,                0.96869,                0.91698,                0.38939,                0.38873,                0.87332,             0.00054478,             0.00054478,             0.00054478
                     70,                0.32376,                0.35363,                0.87466,                0.93675,                 0.9539,                0.96134,                0.90438,                0.41405,                0.42956,                0.88801,             0.00052827,             0.00052827,             0.00052827
                     71,                0.33464,                0.35276,                0.88207,                0.90892,                0.94938,                0.96339,                0.91112,                0.37365,                0.43629,                0.86917,             0.00051177,             0.00051177,             0.00051177
                     72,                0.32681,                0.35856,                0.87395,                0.91877,                0.95833,                0.96958,                 0.9235,                0.37216,                0.40295,                0.86541,             0.00049527,             0.00049527,             0.00049527
                     73,                0.31761,                0.33528,                0.87803,                0.93324,                0.95833,                  0.973,                0.92547,                0.34394,                0.40864,                  0.842,             0.00047876,             0.00047876,             0.00047876
                     74,                0.31786,                0.34476,                0.87706,                 0.9328,                0.97504,                0.98118,                0.93566,                0.34477,                0.35397,                0.84659,             0.00046226,             0.00046226,             0.00046226
                     75,                0.32075,                0.35249,                0.87801,                0.91423,                0.96844,                0.96556,                0.92433,                0.38394,                0.38446,                0.87946,             0.00044576,             0.00044576,             0.00044576
                     76,                0.31551,                0.33298,                0.87416,                0.92278,                0.96667,                0.97417,                0.92068,                0.36934,                 0.3792,                0.86926,             0.00042925,             0.00042925,             0.00042925
                     77,                 0.3152,                0.34071,                0.86975,                0.94226,                 0.9625,                0.97529,                0.92664,                0.34759,                0.37567,                0.86406,             0.00041275,             0.00041275,             0.00041275
                     78,                0.31085,                 0.3383,                0.87478,                0.92649,                  0.975,                0.96931,                0.91814,                0.36998,                0.37823,                0.86534,             0.00039625,             0.00039625,             0.00039625
                     79,                0.30748,                0.31426,                0.86384,                0.92174,                0.96396,                0.96926,                0.91538,                0.36358,                0.38875,                0.86193,             0.00037974,             0.00037974,             0.00037974
                     80,                0.31449,                0.32745,                0.87313,                0.93535,                0.97036,                0.96803,                0.92476,                0.34152,                0.36198,                0.85314,             0.00036324,             0.00036324,             0.00036324
                     81,                0.29201,                 0.3038,                0.86735,                0.92681,                0.96667,                0.97057,                0.92931,                0.34654,                 0.3674,                0.86681,             0.00034674,             0.00034674,             0.00034674
                     82,                0.29851,                0.31774,                0.86988,                0.92831,                0.98142,                0.97624,                0.93295,                0.35365,                0.37565,                0.85775,             0.00033023,             0.00033023,             0.00033023
                     83,                0.30405,                0.33728,                0.86715,                0.92327,                0.98051,                0.97537,                0.94018,                0.31831,                0.36346,                0.83381,             0.00031373,             0.00031373,             0.00031373
                     84,                 0.2886,                0.30034,                0.86418,                0.93266,                0.97917,                0.96871,                0.93418,                0.34363,                0.36472,                0.84825,             0.00029723,             0.00029723,             0.00029723
                     85,                0.30171,                0.31543,                0.87023,                0.92662,                0.98222,                0.97396,                0.93068,                0.33987,                0.34675,                0.85622,             0.00028072,             0.00028072,             0.00028072
                     86,                0.28714,                0.30291,                 0.8582,                 0.9267,                0.97917,                0.97019,                0.92929,                0.33741,                0.36272,                0.85073,             0.00026422,             0.00026422,             0.00026422
                     87,                0.29055,                0.31112,                0.86202,                0.93321,                0.97083,                0.97551,                0.93384,                0.33148,                0.36022,                0.84517,             0.00024772,             0.00024772,             0.00024772
                     88,                0.29773,                0.31032,                0.87182,                 0.9266,                0.98333,                0.97239,                 0.9308,                0.33302,                0.34091,                0.84907,             0.00023121,             0.00023121,             0.00023121
                     89,                0.29281,                0.30939,                 0.8633,                0.93269,                0.97917,                0.97293,                0.92682,                0.35856,                0.37037,                0.86368,             0.00021471,             0.00021471,             0.00021471
                     90,                0.28786,                0.31016,                 0.8609,                0.93379,                0.98333,                0.97859,                0.93697,                0.33864,                0.36635,                0.85305,             0.00019821,             0.00019821,             0.00019821
                     91,                0.26685,                0.28828,                0.83913,                0.93781,                 0.9868,                0.98287,                0.94229,                0.32055,                0.35138,                0.83873,              0.0001817,              0.0001817,              0.0001817
                     92,                0.26513,                0.26662,                0.82732,                0.92962,                0.98122,                0.97405,                0.93587,                0.32475,                0.35828,                0.83975,              0.0001652,              0.0001652,              0.0001652
                     93,                0.25591,                 0.2397,                0.81812,                0.92856,                0.98251,                0.97591,                0.92729,                0.34748,                0.36117,                0.86265,              0.0001487,              0.0001487,              0.0001487
                     94,                0.24913,                0.23305,                0.81705,                0.92693,                 0.9875,                0.97969,                0.93322,                0.33969,                0.34801,                0.86406,             0.00013219,             0.00013219,             0.00013219
                     95,                0.25573,                0.24885,                0.81912,                0.93922,                0.97083,                0.97773,                0.93555,                0.33479,                 0.3431,                0.85464,             0.00011569,             0.00011569,             0.00011569
                     96,                0.25055,                0.23039,                 0.8214,                0.94961,                0.97441,                0.97902,                 0.9377,                0.31821,                0.33877,                0.84026,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.24634,                0.22472,                0.81143,                0.94936,                  0.975,                0.98163,                0.94044,                0.32617,                 0.3191,                0.85705,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.24249,                 0.2268,                0.81084,                0.95077,                0.97816,                0.97837,                 0.9401,                 0.3273,                0.31886,                0.86556,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.23164,                 0.2151,                 0.8118,                0.94031,                0.99167,                0.98254,                0.93839,                0.32941,                 0.3231,                0.86313,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.23868,                0.22196,                0.80531,                0.93195,                 0.9875,                0.97758,                 0.9374,                0.32971,                0.32302,                0.86302,             3.3173e-05,             3.3173e-05,             3.3173e-05
